iter	RMSE
0	1.011953949
1	0.922855635
2	0.8426188118
3	0.7711282778
4	0.7073056276
5	0.6506150308
6	0.6004970116
7	0.5556620694
8	0.5158286222
9	0.4811000477
10	0.4503468379
11	0.4240549765
12	0.4008756545
13	0.3805863368
14	0.363170258
15	0.3480043966
16	0.3350279414
17	0.3239228076
18	0.3145485564
19	0.3061878259
20	0.2991177881
21	0.2933484034
22	0.2883366832
23	0.2838519791
24	0.2800798922
25	0.2769131428
26	0.2737653055
27	0.2709706916
28	0.2681803765
29	0.2662046944
30	0.264512576
31	0.26303228
32	0.2618383119
33	0.2603115619
34	0.2590724641
35	0.2579703715
36	0.2570795103
37	0.2561739508
38	0.2551975001
39	0.2545714021
40	0.2539306765
41	0.2528387889
42	0.2520185738
43	0.2507818867
44	0.2502116823
45	0.2495969038
46	0.2490900399
47	0.2486291482
48	0.2482334152
49	0.2476400053
50	0.2472397385
51	0.2468552674
52	0.2463789595
53	0.2459631187
54	0.2454908231
55	0.2447924929
56	0.2442782608
57	0.2436507581
58	0.2432874242
59	0.2429039528
60	0.242592864
61	0.2423085727
62	0.2415552024
63	0.2411497992
64	0.2408701377
65	0.2404061848
66	0.2399944163
67	0.2397636078
68	0.2394378928
69	0.2392140376
70	0.2388821925
71	0.2386840189
72	0.2381811883
73	0.2379963743
74	0.2377057024
75	0.2374956991
76	0.2372624073
77	0.2369674212
78	0.2366537335
79	0.2364525751
80	0.2362395084
81	0.2357000697
82	0.2354401782
83	0.2352704723
84	0.2349870091
85	0.2347728353
86	0.2346161851
87	0.2342117726
88	0.2340434939
89	0.2338907522
90	0.2337254085
91	0.2334241605
92	0.2331839225
93	0.2329663622
94	0.2326151523
95	0.2324329886
96	0.2320897791
97	0.2319709622
98	0.2318193664
99	0.2315945313
100	0.2314617495
101	0.2312558618
102	0.2310211082
103	0.2307871863
104	0.2305297479
105	0.2303044107
106	0.2300595771
107	0.229841911
108	0.2297081683
109	0.2294309806
110	0.2292994828
111	0.2292208001
112	0.2290530217
113	0.2288952706
114	0.2287118976
115	0.2285655482
116	0.2284246727
117	0.228168195
118	0.2280030704
119	0.2277819829
120	0.2276005237
121	0.2274352208
122	0.2273072638
123	0.2271535819
124	0.2270219084
125	0.2268520301
126	0.226696501
127	0.2265483275
128	0.2264108196
129	0.2263217699
130	0.2261824807
131	0.2260167255
132	0.2258810117
133	0.2257783349
134	0.2255955525
135	0.2254954517
136	0.2253818686
137	0.2251760684
138	0.2250148824
139	0.2249156966
140	0.2247368412
141	0.2246223263
142	0.2244995114
143	0.2242577251
144	0.2241800786
145	0.2240242971
146	0.2239258958
147	0.2237556654
148	0.2235903003
149	0.2234577568
150	0.2233316462
151	0.2231774302
152	0.2231158346
153	0.2229722997
154	0.2228192567
155	0.2226672932
156	0.2225308004
157	0.222456574
158	0.2223716692
159	0.2222258303
160	0.2221042005
161	0.2220165914
162	0.2219448861
163	0.2218106611
164	0.2216969424
165	0.2215884056
166	0.2214712388
167	0.2213598929
168	0.221191712
169	0.2210716696
170	0.2209381319
171	0.2208057736
172	0.2207213453
173	0.2206644567
174	0.2205685335
175	0.2204373741
176	0.2203589183
177	0.220244613
178	0.2201717655
179	0.2200651521
180	0.2198267408
181	0.219722896
182	0.2196265142
183	0.219517935
184	0.2194401542
185	0.2193950126
186	0.2192723427
187	0.2191901191
188	0.2190786395
189	0.2190099645
190	0.2189134121
191	0.2187519354
192	0.2186583199
193	0.2185705792
194	0.2184294786
195	0.2183231504
196	0.2182337912
197	0.2181367071
198	0.2179982569
199	0.2178990599
200	0.2177835218
201	0.2177496684
202	0.217653847
203	0.2175829415
204	0.2175170081
205	0.2174451481
206	0.2173626667
207	0.217310999
208	0.2172673983
209	0.2170839972
210	0.2169878374
211	0.2168941767
212	0.216833086
213	0.2167763632
214	0.216688147
215	0.2165701884
216	0.2164241602
217	0.2162644247
218	0.2161481083
219	0.216075632
220	0.2159373906
221	0.2158349302
222	0.2157810143
223	0.2157457885
224	0.215668377
225	0.2156267796
226	0.2154889616
227	0.2154212444
228	0.2153066121
229	0.2152299895
230	0.2151637877
231	0.2150457093
232	0.2149174361
233	0.2148454394
234	0.2147626813
235	0.2147101133
236	0.2145582954
237	0.2145303954
238	0.2144647017
239	0.2143866705
240	0.2142979415
241	0.2141853573
242	0.2141070015
243	0.2140255417
244	0.2139868801
245	0.2139312539
246	0.2138926201
247	0.2138297407
248	0.2137786624
249	0.2137068977
250	0.213671161
251	0.2135938681
252	0.2135267802
253	0.2134211804
254	0.2133892506
255	0.2133495737
256	0.2132663382
257	0.2132252933
258	0.2131474938
259	0.2130978376
260	0.2130378803
261	0.2129122156
262	0.2128348296
263	0.2127638319
264	0.212709674
265	0.2126443795
266	0.2124738271
267	0.2124188754
268	0.2122847171
269	0.2122276925
270	0.212153438
271	0.2120768704
272	0.2119894367
273	0.21193532
274	0.2118558336
275	0.2118121484
276	0.2117504879
277	0.211680372
278	0.2115955855
279	0.2115505442
280	0.211504848
281	0.2114415886
282	0.2114100838
283	0.2113404574
284	0.2112533204
285	0.2112103759
286	0.2111597205
287	0.2110321759
288	0.2109073732
289	0.2108491042
290	0.2107685595
291	0.2107012074
292	0.210661922
293	0.2106008402
294	0.2104818294
295	0.2104415108
296	0.2103909847
297	0.2103273119
298	0.2102876421
299	0.2102448251
300	0.2101694782
301	0.2101220041
302	0.2100443329
303	0.209990523
304	0.209925785
305	0.2098651826
306	0.2098229814
307	0.2097299136
308	0.2096740816
309	0.2096089268
310	0.209554832
311	0.2095191769
312	0.2094614181
313	0.2094109899
314	0.2093908167
315	0.2093437801
316	0.209286395
317	0.2092318127
318	0.2090834141
319	0.2090109651
320	0.2089627489
321	0.2089098725
322	0.2088642278
323	0.2088273102
324	0.2087640728
325	0.2087105464
326	0.2086455036
327	0.2085573801
328	0.2085081523
329	0.2084724128
330	0.2083867359
331	0.2082779103
332	0.2082385481
333	0.208202149
334	0.2081286703
335	0.2080903313
336	0.2080582933
337	0.2079885674
338	0.2078937386
339	0.2078371661
340	0.2077825845
341	0.2077372816
342	0.207665428
343	0.2075731453
344	0.2074814019
345	0.2074290736
346	0.2073995009
347	0.2073462551
348	0.2072957276
349	0.207263103
350	0.2072230147
351	0.2071991586
352	0.2071593217
353	0.2071238804
354	0.2070985783
355	0.2069739278
356	0.2069487005
357	0.2069052178
358	0.2068643491
359	0.2068060203
360	0.2067700584
361	0.2067118287
362	0.2066704025
363	0.2066201942
364	0.2065663226
365	0.2065151162
366	0.2064683187
367	0.2064231256
368	0.2063580717
369	0.2063228938
370	0.2062731602
371	0.2062454986
372	0.2062010402
373	0.2061600483
374	0.2061396792
375	0.20609929
376	0.2060340402
377	0.2059742729
378	0.2059092774
379	0.2058489076
380	0.2057949543
381	0.2057371264
382	0.2057010529
383	0.2056505779
384	0.2056056026
385	0.2055381389
386	0.2054686185
387	0.2054089255
388	0.2053884022
389	0.2053381928
390	0.2052903984
391	0.2052252075
392	0.2051891411
393	0.2051481235
394	0.2051238161
395	0.2050881905
396	0.2050378851
397	0.204990604
398	0.2049623877
399	0.2049378847
400	0.2049145435
401	0.2048813046
402	0.2048558554
403	0.2048160702
404	0.2047643024
405	0.204735009
406	0.2046963681
407	0.2046451387
408	0.2045879818
409	0.2045628245
410	0.2045236875
411	0.2045019343
412	0.2044743117
413	0.2044385924
414	0.2044051744
415	0.2043648135
416	0.204280797
417	0.2042211117
418	0.2041851538
419	0.2041526975
420	0.2041068391
421	0.2040473348
422	0.2040193247
423	0.2039992881
424	0.2039179627
425	0.2038671295
426	0.2038084772
427	0.2037764661
428	0.2037501831
429	0.203705243
430	0.2036874847
431	0.2036521226
432	0.2036155826
433	0.2035846509
434	0.2035551776
435	0.2034787537
436	0.203451145
437	0.2033991051
438	0.2033520851
439	0.2033184066
440	0.2032795127
441	0.2032299246
442	0.2031992774
443	0.2031343811
444	0.2030753664
445	0.2030515299
446	0.2030180478
447	0.2029990549
448	0.2029617551
449	0.2029150118
450	0.2028696688
451	0.202827963
452	0.2028019973
453	0.2027474777
454	0.2026971428
455	0.2026645991
456	0.2026217326
457	0.2025844102
458	0.2025393882
459	0.2024715779
460	0.2024397121
461	0.2024017788
462	0.2023705023
463	0.2023201783
464	0.2022783656
465	0.2022338895
466	0.2021839469
467	0.202149223
468	0.2020986719
469	0.2020882775
470	0.2020446283
471	0.2019937702
472	0.2019414741
473	0.2019139324
474	0.201865421
475	0.2018066146
476	0.2017903077
477	0.2017643472
478	0.201725751
479	0.2017062517
480	0.2016466486
481	0.2016298069
482	0.2016003865
