iter	Passed	Remaining
0	18	18109
1	32	16463
2	49	16589
3	67	16878
4	83	16607
5	99	16410
6	114	16195
7	132	16432
8	149	16437
9	163	16187
10	178	16028
11	195	16070
12	211	16046
13	226	15981
14	243	15998
15	258	15917
16	274	15850
17	289	15797
18	304	15696
19	318	15601
20	333	15542
21	349	15551
22	364	15476
23	378	15397
24	395	15427
25	410	15379
26	426	15352
27	443	15401
28	462	15495
29	481	15581
30	500	15656
31	516	15610
32	532	15595
33	549	15611
34	565	15600
35	581	15584
36	597	15553
37	615	15571
38	631	15560
39	648	15558
40	663	15522
41	680	15533
42	700	15589
43	718	15603
44	735	15608
45	753	15628
46	769	15612
47	786	15593
48	801	15555
49	817	15525
50	832	15487
51	848	15466
52	863	15434
53	880	15433
54	898	15438
55	914	15421
56	933	15440
57	952	15477
58	970	15474
59	986	15452
60	1002	15428
61	1018	15414
62	1036	15411
63	1053	15405
64	1069	15385
65	1085	15366
66	1104	15383
67	1120	15360
68	1137	15349
69	1160	15412
70	1183	15488
71	1207	15565
72	1234	15677
73	1258	15742
74	1278	15765
75	1299	15793
76	1357	16267
77	1380	16319
78	1398	16307
79	1418	16307
80	1436	16298
81	1454	16281
82	1472	16271
83	1488	16229
84	1505	16204
85	1522	16182
86	1537	16135
87	1555	16124
88	1570	16080
89	1586	16045
90	1604	16024
91	1621	16007
92	1638	15982
93	1656	15963
94	1672	15936
95	1688	15904
96	1707	15893
97	1723	15864
98	1740	15837
99	1757	15817
100	1774	15792
101	1791	15769
102	1808	15747
103	1831	15782
104	1853	15801
105	1871	15786
106	1889	15766
107	1906	15748
108	1925	15741
109	1945	15742
110	1961	15707
111	1976	15673
112	1992	15643
113	2009	15613
114	2025	15586
115	2040	15551
116	2056	15520
117	2073	15495
118	2090	15475
119	2107	15458
120	2122	15420
121	2144	15432
122	2162	15415
123	2181	15410
124	2201	15409
125	2222	15415
126	2238	15385
127	2255	15363
128	2272	15341
129	2287	15307
130	2304	15289
131	2319	15254
132	2335	15225
133	2352	15200
134	2368	15178
135	2384	15148
136	2402	15130
137	2423	15135
138	2440	15115
139	2455	15083
140	2473	15068
141	2490	15051
142	2510	15042
143	2527	15022
144	2545	15011
145	2562	14987
146	2579	14965
147	2599	14965
148	2617	14951
149	2633	14921
150	2648	14893
151	2665	14873
152	2684	14861
153	2702	14848
154	2719	14823
155	2736	14805
156	2754	14791
157	2771	14771
158	2787	14741
159	2803	14719
160	2820	14699
161	2837	14679
162	2853	14651
163	2871	14635
164	2890	14627
165	2904	14593
166	2920	14567
167	2937	14548
168	2957	14542
169	2974	14520
170	2992	14505
171	3008	14481
172	3024	14457
173	3038	14425
174	3054	14397
175	3069	14372
176	3087	14356
177	3104	14336
178	3122	14319
179	3139	14301
180	3156	14281
181	3171	14256
182	3188	14234
183	3204	14213
184	3223	14201
185	3241	14186
186	3261	14180
187	3280	14167
188	3299	14159
189	3315	14132
190	3330	14105
191	3346	14081
192	3363	14065
193	3380	14046
194	3398	14027
195	3413	14002
196	3430	13982
197	3447	13963
198	3462	13937
199	3479	13917
200	3499	13909
201	3515	13889
202	3532	13867
203	3548	13846
204	3565	13826
205	3580	13802
206	3596	13778
207	3613	13759
208	3629	13734
209	3650	13731
210	3668	13717
211	3687	13707
212	3705	13692
213	3721	13670
214	3741	13661
215	3759	13645
216	3776	13627
217	3792	13606
218	3811	13591
219	3828	13574
220	3845	13556
221	3864	13541
222	3880	13522
223	3897	13500
224	3916	13490
225	3933	13470
226	3949	13448
227	3968	13437
228	3989	13430
229	4009	13422
230	4027	13408
231	4048	13400
232	4064	13379
233	4081	13361
234	4099	13346
235	4115	13324
236	4135	13313
237	4153	13297
238	4169	13275
239	4187	13260
240	4205	13244
241	4222	13225
242	4237	13199
243	4255	13186
244	4273	13170
245	4289	13147
246	4305	13124
247	4322	13106
248	4340	13089
249	4355	13067
250	4371	13044
251	4388	13025
252	4403	13001
253	4421	12984
254	4439	12970
255	4457	12953
256	4474	12935
257	4491	12918
258	4509	12900
259	4525	12879
260	4543	12864
261	4560	12844
262	4583	12844
263	4601	12827
264	4616	12805
265	4633	12784
266	4652	12772
267	4668	12750
268	4685	12732
269	4701	12711
270	4717	12691
271	4735	12673
272	4752	12657
273	4769	12636
274	4786	12618
275	4802	12597
276	4818	12577
277	4836	12559
278	4853	12541
279	4870	12524
280	4887	12504
281	4903	12485
282	4921	12469
283	4938	12449
284	4954	12430
285	4972	12413
286	4990	12398
287	5007	12379
288	5024	12362
289	5041	12344
290	5058	12325
291	5076	12309
292	5094	12291
293	5111	12274
294	5128	12256
295	5145	12238
296	5163	12222
297	5179	12202
298	5195	12181
299	5211	12159
300	5229	12143
301	5246	12126
302	5263	12108
303	5283	12095
304	5299	12074
305	5316	12056
306	5334	12041
307	5351	12022
308	5367	12003
309	5386	11989
310	5402	11967
311	5419	11951
312	5436	11932
313	5458	11925
314	5476	11908
315	5494	11893
316	5511	11875
317	5528	11855
318	5545	11838
319	5564	11823
320	5580	11805
321	5599	11790
322	5622	11783
323	5638	11764
324	5655	11745
325	5672	11727
326	5691	11713
327	5710	11699
328	5727	11682
329	5745	11665
330	5763	11648
331	5780	11630
332	5796	11610
333	5813	11592
334	5829	11571
335	5846	11554
336	5861	11531
337	5878	11514
338	5894	11493
339	5912	11476
340	5926	11453
341	5942	11433
342	5960	11417
343	5977	11399
344	5994	11380
345	6009	11359
346	6025	11339
347	6041	11318
348	6058	11300
349	6075	11282
350	6092	11264
351	6110	11249
352	6131	11237
353	6148	11220
354	6168	11206
355	6188	11194
356	6207	11180
357	6226	11165
358	6247	11155
359	6268	11144
360	6292	11138
361	6314	11128
362	6336	11119
363	6358	11109
364	6375	11090
365	6395	11078
366	6411	11059
367	6427	11039
368	6445	11022
369	6464	11007
370	6482	10991
371	6500	10974
372	6517	10956
373	6534	10937
374	6550	10917
375	6566	10897
376	6583	10878
377	6600	10861
378	6616	10841
379	6633	10823
380	6652	10807
381	6670	10792
382	6692	10780
383	6709	10763
384	6725	10743
385	6741	10723
386	6759	10707
387	6775	10686
388	6790	10665
389	6809	10650
390	6826	10632
391	6843	10614
392	6859	10595
393	6875	10574
394	6891	10555
395	6908	10536
396	6926	10520
397	6944	10503
398	6962	10487
399	6979	10468
400	6995	10449
401	7011	10430
402	7030	10414
403	7049	10400
404	7068	10384
405	7087	10369
406	7102	10349
407	7118	10329
408	7137	10313
409	7158	10301
410	7178	10287
411	7196	10270
412	7212	10250
413	7229	10233
414	7247	10216
415	7264	10198
416	7282	10181
417	7299	10162
418	7317	10147
419	7335	10130
420	7352	10111
421	7368	10093
422	7387	10076
423	7402	10056
424	7420	10038
425	7438	10022
426	7456	10005
427	7473	9988
428	7493	9974
429	7509	9954
430	7527	9937
431	7545	9920
432	7563	9903
433	7580	9886
434	7598	9869
435	7616	9852
436	7631	9832
437	7647	9813
438	7665	9796
439	7681	9776
440	7698	9758
441	7714	9739
442	7732	9722
443	7751	9707
444	7769	9690
445	7785	9671
446	7805	9656
447	7822	9638
448	7964	9774
449	8005	9784
450	8022	9765
451	8040	9748
452	8057	9729
453	8074	9710
454	8092	9693
455	8108	9673
456	8128	9657
457	8146	9640
458	8162	9621
459	8180	9602
460	8197	9584
461	8214	9566
462	8233	9549
463	8249	9529
464	8265	9510
465	8282	9490
466	8298	9471
467	8314	9451
468	8330	9432
469	8347	9413
470	8364	9394
471	8380	9375
472	8396	9355
473	8412	9335
474	8428	9315
475	8446	9297
476	8461	9277
477	8479	9259
478	8495	9240
479	8514	9223
480	8535	9209
481	8552	9191
482	8571	9175
483	8588	9155
484	8605	9137
485	8624	9121
486	8645	9106
487	8664	9090
488	8685	9076
489	8706	9061
490	8726	9046
491	8745	9029
492	8763	9012
493	8781	8994
494	8802	8980
495	8818	8961
496	8836	8943
497	8854	8925
498	8873	8909
499	8890	8890
500	8905	8870
501	8924	8853
502	8942	8835
503	8960	8818
504	8978	8800
505	8996	8783
506	9015	8766
507	9031	8747
508	9051	8731
509	9066	8711
510	9084	8693
511	9101	8675
512	9118	8656
513	9136	8639
514	9159	8625
515	9176	8607
516	9197	8592
517	9214	8574
518	9231	8555
519	9247	8535
520	9264	8517
521	9280	8498
522	9297	8479
523	9313	8460
524	9332	8443
525	9348	8424
526	9365	8406
527	9384	8388
528	9401	8370
529	9416	8350
530	9433	8332
531	9449	8313
532	9468	8296
533	9485	8277
534	9505	8262
535	9522	8243
536	9538	8224
537	9557	8207
538	9574	8188
539	9592	8171
540	9609	8152
541	9625	8133
542	9643	8116
543	9661	8098
544	9677	8079
545	9695	8061
546	9714	8045
547	9732	8027
548	9749	8009
549	9766	7991
550	9784	7973
551	9801	7954
552	9819	7937
553	9836	7918
554	9855	7901
555	9871	7883
556	9887	7864
557	9904	7845
558	9921	7827
559	9937	7808
560	9954	7789
561	9971	7771
562	9986	7751
563	10003	7733
564	10021	7715
565	10038	7697
566	10054	7678
567	10071	7659
568	10086	7640
569	10102	7620
570	10119	7602
571	10134	7583
572	10152	7565
573	10169	7547
574	10185	7528
575	10202	7510
576	10218	7491
577	10237	7474
578	10253	7455
579	10269	7436
580	10288	7419
581	10304	7400
582	10321	7382
583	10339	7364
584	10355	7346
585	10372	7327
586	10387	7308
587	10405	7290
588	10423	7273
589	10437	7253
590	10454	7235
591	10472	7217
592	10489	7199
